# Station Code,pmai
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:38
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,FCRN,LAWN,ONYN,PAST,PEAS,POTA,POTS,PPMT,SCRN,SGRN,WGRN,WGRP
03/31,0.112,0.115,0.048,,,,0.134,,0.098,,,,0.054,,0.063,0.149,0.08
04/01,0.092,0.095,0.032,,,,0.115,0.047,0.083,0.04,,,0.033,,0.057,0.127,0.05
04/02,0.11,0.112,0.044,,,,0.131,0.057,0.097,0.04,,,0.042,,0.076,0.148,0.065
04/03,0.108,0.11,0.04,,,,0.125,0.057,0.093,0.04,,,0.038,,0.072,0.143,0.065
04/04,0.11,0.112,0.046,,,,0.128,0.08,0.095,0.04,,,0.04,,0.089,0.145,0.06
04/05,0.11,0.112,0.043,,,,0.126,0.057,0.095,0.033,,0.06,0.041,,0.08,0.145,0.05
04/06,0.109,0.113,0.039,,,,0.125,0.057,0.093,0.033,,0.05,0.038,,0.074,0.142,0.07
04/07,0.119,0.123,0.044,,,,0.132,0.077,0.103,0.037,,0.06,0.046,,0.088,0.153,0.063
04/08,0.135,0.14,0.053,,,,0.144,0.1,0.112,0.045,,0.06,0.048,,0.107,0.171,0.083
04/09,0.137,0.141,0.056,,,,0.145,0.1,0.114,0.045,,0.07,0.049,,0.108,0.171,0.09
04/10,0.153,0.159,0.055,,0.037,,0.165,0.09,0.129,0.042,,0.08,0.054,,0.114,0.195,0.062
04/11,0.136,0.143,0.052,,0.033,,0.14,0.117,0.112,0.04,,0.07,0.045,,0.117,0.168,0.054
04/12,0.146,0.157,0.06,,0.05,,0.149,0.093,0.121,0.044,,0.04,0.053,,0.122,0.179,0.076
04/13,0.145,0.155,0.061,,0.05,,0.148,0.08,0.119,0.046,,0.05,0.051,,0.113,0.178,0.082
04/14,0.139,0.151,0.057,,0.053,,0.137,0.073,0.112,0.04,,0.05,0.049,,0.113,0.168,0.082
04/15,0.158,0.172,0.066,,0.05,,0.157,0.081,0.131,0.049,,0.06,0.053,,0.112,0.192,0.062
04/16,0.165,0.18,0.071,,0.047,,0.165,0.085,0.135,0.051,,0.065,0.059,,0.119,0.2,0.058
04/17,0.152,0.167,0.067,,0.05,,0.147,0.083,0.123,0.047,,0.06,0.056,,0.106,0.182,0.062
04/18,0.163,0.181,0.078,,0.063,,0.156,0.096,0.131,0.052,,0.085,0.064,,0.113,0.195,0.071
04/19,0.18,0.199,0.08,,0.06,,0.173,0.107,0.144,0.059,,0.08,0.07,,0.134,0.215,0.072
04/20,0.175,0.195,0.084,,0.054,,0.168,0.111,0.14,0.054,0.07,0.09,0.072,,0.138,0.209,0.069
04/21,0.185,0.204,0.086,,0.05,,0.175,0.106,0.147,0.052,0.07,0.085,0.072,,0.138,0.218,0.067
04/22,0.201,0.222,0.101,,0.059,,0.189,0.116,0.158,0.06,0.07,0.1,0.085,,0.161,0.235,0.073
04/23,0.164,0.184,0.081,,0.05,,0.156,0.099,0.133,0.05,0.03,0.075,0.068,,0.136,0.195,0.057
04/24,0.155,0.174,0.077,,0.044,,0.146,0.091,0.124,0.046,0.05,0.08,0.065,,0.128,0.182,0.052
04/25,0.175,0.198,0.088,,0.049,,0.165,0.107,0.14,0.053,0.09,0.15,0.081,,0.152,0.205,0.057
04/26,0.164,0.188,0.088,,0.048,,0.155,0.11,0.13,0.052,0.07,0.135,0.078,,0.131,0.193,0.059
04/27,0.19,0.218,0.097,,0.052,,0.179,0.113,0.152,0.062,0.06,0.105,0.089,,0.164,0.223,0.061
04/28,0.192,0.223,0.113,,0.059,,0.182,0.115,0.155,0.064,0.065,0.13,0.099,,0.17,0.226,0.073
04/29,0.19,0.221,0.117,,0.058,,0.178,0.121,0.153,0.065,0.065,0.12,0.101,,0.165,0.223,0.073
04/30,0.2,0.232,0.123,,0.062,,0.188,0.125,0.159,0.071,0.07,0.15,0.108,,0.178,0.235,0.075
05/01,0.207,0.239,0.128,,0.061,,0.193,0.111,0.163,0.074,0.07,0.089,0.115,0.06,0.194,0.241,0.071
05/02,0.216,0.252,0.14,,0.063,,0.204,0.121,0.171,0.081,0.07,0.098,0.123,0.08,0.205,0.253,0.078
05/03,0.212,0.248,0.147,,0.069,,0.199,0.123,0.168,0.085,0.08,0.106,0.128,0.09,0.204,0.248,0.082
05/04,0.202,0.237,0.143,,0.066,,0.189,0.118,0.161,0.083,0.075,0.099,0.126,0.07,0.201,0.237,0.079
05/05,0.208,0.245,0.151,0.06,0.063,,0.197,0.123,0.168,0.088,0.082,0.107,0.137,0.08,0.208,0.245,0.089
05/06,0.239,0.282,0.174,0.06,0.073,,0.225,0.15,0.192,0.105,0.098,0.129,0.158,0.09,0.243,0.282,0.105
05/07,0.212,0.249,0.149,0.05,0.065,,0.2,0.129,0.169,0.093,0.082,0.108,0.14,0.065,0.222,0.249,0.088
05/08,0.205,0.242,0.15,0.06,0.062,,0.193,0.125,0.164,0.093,0.083,0.109,0.143,0.06,0.218,0.242,0.089
05/09,0.222,0.262,0.169,0.07,0.07,,0.21,0.132,0.178,0.106,0.085,0.119,0.157,0.06,0.239,0.262,0.102
05/10,0.228,0.268,0.173,0.05,0.072,,0.215,0.126,0.183,0.111,0.085,0.12,0.161,0.065,0.249,0.268,0.101
05/11,0.213,0.251,0.168,0.057,0.07,,0.2,0.124,0.17,0.108,0.08,0.126,0.158,0.07,0.235,0.251,0.102
05/12,0.213,0.248,0.167,0.067,0.071,,0.199,0.124,0.169,0.113,0.092,0.135,0.159,0.085,0.234,0.248,0.105
05/13,0.192,0.225,0.154,0.053,0.064,,0.18,0.112,0.154,0.103,0.075,0.12,0.145,0.07,0.212,0.225,0.094
05/14,0.198,0.234,0.162,0.057,0.068,,0.187,0.116,0.158,0.112,0.087,0.136,0.158,0.065,0.225,0.234,0.104
05/15,0.193,0.228,0.168,0.053,0.068,0.062,0.182,0.114,0.155,0.116,0.094,0.142,0.158,0.074,0.222,0.228,0.105
05/16,0.205,0.241,0.185,0.056,0.073,0.082,0.192,0.119,0.163,0.13,0.094,0.158,0.171,0.079,0.235,0.241,0.117
05/17,0.187,0.22,0.178,0.057,0.07,0.086,0.176,0.111,0.148,0.126,0.086,0.152,0.158,0.074,0.215,0.22,0.112
05/18,0.203,0.239,0.185,0.057,0.076,0.06,0.193,0.118,0.162,0.134,0.098,0.166,0.175,0.073,0.236,0.239,0.118
05/19,0.2,0.235,0.188,0.056,0.075,0.066,0.189,0.12,0.159,0.138,0.099,0.165,0.175,0.073,0.232,0.235,0.121
05/20,0.188,0.222,0.178,0.052,0.073,0.056,0.177,0.112,0.151,0.134,0.083,0.152,0.168,0.068,0.218,0.222,0.115
05/21,0.196,0.231,0.189,0.059,0.079,0.066,0.184,0.118,0.157,0.145,0.09,0.169,0.178,0.074,0.227,0.231,0.125
05/22,0.201,0.236,0.192,0.058,0.082,0.066,0.188,0.124,0.161,0.151,0.093,0.172,0.184,0.07,0.233,0.236,0.129
05/23,0.212,0.249,0.208,0.072,0.087,0.078,0.199,0.131,0.17,0.167,0.096,0.188,0.197,0.079,0.246,0.249,0.14
05/24,0.231,0.271,0.232,0.083,0.099,0.09,0.218,0.143,0.184,0.193,0.117,0.213,0.222,0.091,0.268,0.271,0.159
05/25,0.204,0.238,0.202,0.069,0.09,0.078,0.191,0.13,0.162,0.173,0.103,0.196,0.195,0.077,0.238,0.238,0.138
05/26,0.207,0.244,0.21,0.078,0.095,0.08,0.195,0.135,0.166,0.185,0.107,0.203,0.202,0.079,0.243,0.244,0.146
05/27,0.215,0.252,0.208,0.083,0.101,0.082,0.201,0.138,0.172,0.198,0.12,0.214,0.211,0.079,0.252,0.252,0.155
05/28,0.223,0.263,0.222,0.093,0.108,0.08,0.211,0.145,0.178,0.206,0.126,0.225,0.222,0.083,0.263,0.263,0.163
05/29,0.21,0.246,0.212,0.095,0.104,0.076,0.197,0.138,0.168,0.199,0.12,0.211,0.209,0.081,0.246,0.246,0.155
05/30,0.206,0.242,0.212,0.103,0.102,0.077,0.192,0.138,0.165,0.202,0.117,0.205,0.207,0.08,0.242,0.242,0.151
05/31,0.21,0.248,0.222,0.114,0.109,0.084,0.198,0.142,0.168,0.212,0.128,0.215,0.215,0.082,0.248,0.248,0.158
06/01,0.22,0.256,0.228,0.104,0.115,0.082,0.205,0.148,0.175,0.222,0.128,0.224,0.221,0.087,0.256,0.256,0.165
06/02,0.235,0.277,0.248,0.121,0.128,0.088,0.222,0.163,0.188,0.245,0.145,0.245,0.244,0.093,0.277,0.277,0.178
06/03,0.244,0.286,0.255,0.127,0.134,0.092,0.228,0.173,0.195,0.258,0.155,0.251,0.253,0.099,0.286,0.286,0.185
06/04,0.261,0.307,0.272,0.148,0.148,0.098,0.245,0.185,0.208,0.28,0.169,0.272,0.273,0.105,0.307,0.306,0.198
06/05,0.253,0.298,0.268,0.156,0.15,0.096,0.238,0.188,0.203,0.279,0.17,0.268,0.268,0.105,0.298,0.298,0.193
06/06,0.236,0.277,0.252,0.151,0.143,0.09,0.222,0.175,0.187,0.261,0.162,0.249,0.248,0.101,0.277,0.276,0.181
06/07,0.225,0.264,0.24,0.147,0.138,0.089,0.212,0.169,0.178,0.252,0.159,0.238,0.24,0.098,0.264,0.263,0.173
06/08,0.235,0.278,0.252,0.167,0.148,0.095,0.222,0.184,0.188,0.269,0.174,0.25,0.252,0.105,0.278,0.275,0.182
06/09,0.231,0.272,0.252,0.17,0.148,0.093,0.218,0.182,0.185,0.265,0.175,0.244,0.248,0.103,0.272,0.268,0.176
06/10,0.226,0.265,0.243,0.167,0.149,0.094,0.212,0.182,0.181,0.259,0.174,0.24,0.245,0.103,0.265,0.261,0.172
06/11,0.243,0.286,0.262,0.186,0.163,0.101,0.229,0.199,0.195,0.28,0.195,0.261,0.265,0.113,0.286,0.279,0.187
06/12,0.23,0.271,0.249,0.188,0.158,0.098,0.215,0.189,0.184,0.265,0.182,0.245,0.251,0.107,0.271,0.262,0.176
06/13,0.235,0.277,0.253,0.192,0.165,0.102,0.222,0.195,0.188,0.273,0.193,0.252,0.258,0.115,0.277,0.267,0.181
06/14,0.235,0.277,0.252,0.192,0.167,0.102,0.221,0.198,0.187,0.273,0.195,0.253,0.258,0.115,0.277,0.266,0.181
06/15,0.232,0.272,0.25,0.192,0.166,0.102,0.218,0.195,0.185,0.267,0.192,0.248,0.255,0.114,0.272,0.26,0.178
06/16,0.233,0.275,0.252,0.198,0.174,0.108,0.222,0.206,0.187,0.27,0.203,0.252,0.257,0.122,0.275,0.262,0.179
06/17,0.237,0.278,0.264,0.218,0.18,0.114,0.222,0.212,0.188,0.268,0.208,0.255,0.262,0.129,0.278,0.26,0.18
06/18,0.228,0.269,0.251,0.211,0.178,0.112,0.216,0.209,0.182,0.259,0.209,0.248,0.254,0.127,0.269,0.25,0.175
06/19,0.242,0.285,0.267,0.229,0.192,0.123,0.228,0.228,0.195,0.27,0.223,0.262,0.269,0.14,0.285,0.26,0.185
06/20,0.24,0.283,0.265,0.234,0.195,0.122,0.227,0.23,0.192,0.262,0.227,0.261,0.268,0.142,0.283,0.258,0.184
06/21,0.26,0.304,0.285,0.258,0.215,0.135,0.243,0.249,0.206,0.276,0.247,0.278,0.288,0.156,0.304,0.272,0.198
06/22,0.259,0.306,0.286,0.261,0.222,0.14,0.246,0.256,0.208,0.275,0.252,0.283,0.29,0.16,0.306,0.265,0.198
06/23,0.265,0.312,0.291,0.265,0.231,0.148,0.25,0.267,0.213,0.273,0.262,0.288,0.296,0.167,0.312,0.264,0.203
06/24,0.26,0.306,0.288,0.266,0.231,0.152,0.245,0.265,0.208,0.258,0.259,0.282,0.29,0.169,0.306,0.25,0.198
06/25,0.252,0.295,0.276,0.259,0.227,0.149,0.237,0.256,0.2,0.245,0.252,0.27,0.28,0.165,0.295,0.23,0.192
06/26,0.248,0.289,0.27,0.258,0.225,0.151,0.231,0.257,0.198,0.234,0.251,0.266,0.276,0.168,0.289,0.22,0.188
06/27,0.251,0.295,0.277,0.265,0.237,0.157,0.235,0.268,0.2,0.228,0.26,0.27,0.279,0.175,0.295,0.219,0.192
06/28,0.272,0.319,0.299,0.29,0.265,0.175,0.255,0.295,0.217,0.232,0.283,0.294,0.303,0.195,0.319,0.228,0.208
06/29,0.252,0.298,0.282,0.272,0.254,0.168,0.241,0.276,0.202,0.207,0.268,0.273,0.282,0.186,0.298,0.21,0.195
06/30,0.275,0.322,0.307,0.299,0.278,0.187,0.258,0.302,0.218,0.216,0.289,0.297,0.307,0.205,0.322,0.214,0.211
07/01,0.274,0.322,0.306,0.298,0.286,0.192,0.258,0.304,0.219,0.208,0.291,0.295,0.305,0.209,0.322,0.199,0.21
07/02,0.276,0.325,0.309,0.302,0.292,0.197,0.26,0.307,0.222,0.202,0.294,0.298,0.307,0.215,0.324,0.21,0.212
07/03,0.288,0.338,0.325,0.317,0.307,0.211,0.272,0.325,0.231,0.199,0.308,0.309,0.32,0.228,0.337,0.212,0.22
07/04,0.27,0.319,0.307,0.299,0.295,0.202,0.255,0.31,0.216,0.177,0.292,0.292,0.302,0.22,0.316,0.192,0.206
07/05,0.268,0.314,0.304,0.295,0.295,0.205,0.252,0.307,0.213,0.168,0.288,0.288,0.298,0.22,0.306,0.173,0.205
07/06,0.266,0.312,0.303,0.295,0.296,0.208,0.25,0.305,0.212,0.155,0.287,0.284,0.297,0.225,0.304,0.18,0.203
07/07,0.272,0.319,0.31,0.302,0.305,0.218,0.256,0.314,0.218,0.151,0.295,0.289,0.302,0.234,0.308,0.18,0.209
07/08,0.269,0.318,0.308,0.3,0.307,0.222,0.256,0.313,0.215,0.142,0.294,0.287,0.301,0.237,0.299,0.17,0.207
07/09,0.257,0.303,0.295,0.287,0.298,0.214,0.243,0.298,0.206,0.13,0.282,0.273,0.287,0.228,0.278,0.155,0.198
07/10,0.266,0.314,0.305,0.298,0.31,0.228,0.252,0.312,0.212,0.122,0.291,0.282,0.298,0.241,0.281,0.155,0.205
07/11,0.275,0.322,0.312,0.305,0.319,0.238,0.257,0.32,0.217,0.128,0.299,0.287,0.305,0.252,0.282,0.153,0.208
07/12,0.267,0.314,0.306,0.297,0.312,0.238,0.252,0.313,0.213,0.115,0.292,0.278,0.298,0.252,0.268,0.137,0.204
07/13,0.269,0.316,0.31,0.298,0.314,0.245,0.253,0.315,0.215,0.107,0.295,0.28,0.299,0.258,0.265,0.134,0.205
07/14,0.272,0.319,0.314,0.301,0.319,0.253,0.256,0.318,0.218,0.102,0.298,0.281,0.302,0.265,0.264,0.128,0.207
07/15,0.268,0.317,0.312,0.3,0.317,0.258,0.253,0.316,0.216,0.075,0.295,0.277,0.302,0.27,0.256,0.051,0.171
07/16,0.272,0.318,0.314,0.302,0.318,0.262,0.254,0.318,0.215,0.097,0.298,0.277,0.302,0.275,0.247,0.173,0.205
07/17,0.272,0.321,0.317,0.301,0.321,0.268,0.257,0.321,0.218,0.091,0.298,0.277,0.304,0.282,0.241,0.187,0.212
07/18,0.28,0.33,0.325,0.308,0.33,0.282,0.262,0.33,0.223,0.087,0.307,0.283,0.312,0.294,0.241,0.2,0.215
07/19,0.275,0.322,0.318,0.301,0.322,0.279,0.258,0.322,0.219,0.081,0.3,0.274,0.305,0.292,0.227,0.173,0.212
07/20,0.272,0.32,0.315,0.298,0.32,0.282,0.256,0.32,0.218,0.041,0.298,0.27,0.276,0.293,0.205,0.107,0.209
07/21,0.272,0.321,0.316,0.297,0.321,0.288,0.258,0.321,0.217,0.085,0.298,0.268,0.3,0.297,0.208,0.32,0.214
07/22,0.278,0.326,0.322,0.3,0.326,0.297,0.262,0.326,0.219,0.077,0.302,0.27,0.307,0.307,0.203,0.37,0.219
07/23,0.252,0.295,0.292,0.27,0.295,0.272,0.237,0.295,0.198,0.062,0.272,0.242,0.28,0.279,0.177,0.36,0.195
07/24,0.259,0.304,0.301,0.275,0.304,0.288,0.243,0.304,0.207,0.072,0.281,0.248,0.289,0.294,0.177,0.35,0.201
07/25,0.258,0.304,0.3,0.276,0.304,0.292,0.244,0.304,0.207,0.02,0.279,0.246,0.268,0.296,0.132,0.34,0.201
07/26,0.259,0.304,0.301,0.272,0.304,0.293,0.242,0.304,0.206,0.05,0.281,0.242,0.282,0.297,0.204,0.3,0.2
07/27,0.279,0.328,0.325,0.29,0.328,0.318,0.262,0.328,0.222,0.08,0.302,0.259,0.31,0.323,0.211,0.36,0.217
07/28,0.27,0.317,0.314,0.278,0.317,0.309,0.255,0.317,0.215,0.07,0.29,0.248,0.297,0.312,0.197,0.37,0.214
07/29,0.261,0.306,0.304,0.266,0.306,0.302,0.244,0.306,0.207,0.06,0.279,0.237,0.287,0.302,0.179,0.34,0.202
07/30,0.265,0.311,0.308,0.266,0.311,0.307,0.249,0.311,0.211,0.06,0.282,0.238,0.287,0.308,0.171,0.32,0.206
07/31,0.263,0.308,0.306,0.258,0.308,0.308,0.248,0.308,0.208,0.06,0.279,0.232,0.287,0.307,0.161,0.31,0.205
08/01,0.257,0.302,0.299,0.25,0.302,0.302,0.241,0.302,0.206,0.0,0.273,0.224,0.206,0.301,0.141,0.34,0.198
08/02,0.255,0.3,0.298,0.244,0.3,0.3,0.239,0.3,0.204,,0.269,0.221,0.29,0.298,0.135,0.19,0.198
08/03,0.264,0.309,0.307,0.248,0.309,0.309,0.248,0.309,0.211,,0.276,0.223,0.309,0.308,0.135,0.26,0.209
08/04,0.242,0.288,0.285,0.226,0.288,0.288,0.232,0.288,0.196,,0.258,0.202,0.265,0.285,0.128,0.3,0.185
08/05,0.243,0.285,0.283,0.221,0.285,0.285,0.227,0.282,0.194,,0.251,0.198,0.138,0.282,0.067,0.28,0.191
08/06,0.241,0.282,0.281,0.211,0.282,0.282,0.227,0.276,0.192,,0.248,0.188,0.245,0.28,0.23,0.35,0.186
08/07,0.227,0.268,0.266,0.197,0.268,0.268,0.215,0.26,0.182,,0.233,0.175,0.24,0.265,0.175,0.27,0.177
08/08,0.238,0.278,0.276,0.196,0.278,0.278,0.222,0.268,0.188,,0.239,0.172,0.23,0.274,0.185,0.28,0.181
08/09,0.254,0.298,0.296,0.206,0.297,0.298,0.238,0.285,0.202,,0.256,0.178,0.26,0.29,0.175,0.26,0.195
08/10,0.224,0.262,0.261,0.177,0.262,0.262,0.209,0.245,0.177,,0.224,0.142,0.11,0.253,0.15,0.18,0.171
08/11,0.245,0.288,0.288,0.188,0.288,0.288,0.232,0.266,0.196,,0.246,0.195,0.25,0.279,0.16,0.22,0.188
08/12,0.242,0.284,0.282,0.18,0.281,0.284,0.227,0.255,0.194,,0.241,0.195,0.25,0.275,0.175,0.24,0.186
08/13,0.224,0.263,0.262,0.164,0.259,0.263,0.211,0.232,0.18,,0.221,0.179,0.23,0.252,0.2,0.29,0.176
08/14,0.234,0.274,0.273,0.162,0.269,0.274,0.219,0.235,0.186,,0.229,0.175,0.27,0.26,0.185,0.28,0.174
08/15,0.233,0.274,0.273,0.149,0.266,0.274,0.219,0.23,0.185,,0.226,0.18,0.0,0.255,0.13,0.26,0.184
08/16,0.234,0.275,0.274,0.158,0.268,0.275,0.22,0.228,0.187,,0.229,0.175,,0.255,0.22,0.22,0.185
08/17,0.238,0.279,0.278,0.152,0.272,0.279,0.225,0.222,0.188,,0.228,0.175,,0.258,0.23,0.23,0.185
08/18,0.229,0.27,0.268,0.137,0.262,0.269,0.216,0.206,0.183,,0.22,0.166,,0.247,0.23,0.23,0.181
08/19,0.232,0.272,0.269,0.13,0.262,0.269,0.217,0.2,0.185,,0.219,0.162,,0.244,0.21,0.21,0.18
08/20,0.221,0.258,0.256,0.11,0.248,0.255,0.208,0.151,0.175,,0.208,0.149,,0.214,0.24,0.24,0.173
08/21,0.208,0.244,0.242,0.112,0.233,0.238,0.195,0.18,0.166,,0.197,0.139,,0.214,0.22,0.22,0.155
08/22,0.222,0.26,0.257,0.114,0.245,0.255,0.208,0.18,0.176,,0.206,0.143,,0.226,0.22,0.22,0.167
08/23,0.21,0.246,0.24,0.102,0.232,0.238,0.197,0.168,0.168,,0.195,0.137,,0.213,0.2,0.2,0.163
08/24,0.215,0.252,0.243,0.1,0.235,0.242,0.201,0.171,0.169,,0.196,0.139,,0.215,0.2,0.2,0.167
08/25,0.214,0.252,0.242,0.045,0.235,0.242,0.202,0.104,0.168,,0.195,0.129,,0.198,0.2,0.2,0.168
08/26,0.199,0.235,0.224,0.11,0.218,0.225,0.189,0.188,0.159,,0.181,0.111,,0.203,0.18,0.18,0.155
08/27,0.221,0.261,0.244,0.123,0.242,0.248,0.209,0.168,0.176,,0.199,0.111,,0.213,0.27,0.27,0.168
08/28,0.201,0.238,0.221,0.103,0.219,0.225,0.19,0.164,0.158,,0.178,0.098,,0.198,0.19,0.19,0.159
08/29,0.215,0.253,0.234,0.103,0.231,0.238,0.202,0.18,0.169,,0.188,0.097,,0.214,0.16,0.16,0.17
08/30,0.227,0.265,0.239,0.097,0.241,0.247,0.212,0.16,0.175,,0.195,0.085,,0.225,0.17,0.17,0.173
08/31,0.214,0.252,0.225,0.097,0.227,0.235,0.201,0.154,0.168,,0.182,0.081,,0.204,0.18,0.18,0.171
09/01,0.215,0.251,0.219,0.0,0.225,0.231,0.2,0.102,0.165,,0.177,0.031,,0.083,0.22,0.22,0.17
09/02,0.194,0.228,0.195,,0.202,0.208,0.183,0.133,0.151,,0.159,0.11,,0.177,0.17,0.17,0.145
09/03,0.187,0.219,0.185,,0.195,0.199,0.175,0.13,0.144,,0.149,0.11,,0.163,0.19,0.19,0.143
09/04,0.192,0.226,0.186,,0.2,0.206,0.182,0.127,0.148,,0.151,0.1,,0.185,0.16,0.16,0.15
09/05,0.172,0.202,0.165,,0.178,0.184,0.162,0.0,0.132,,0.128,0.07,,0.058,0.15,0.15,0.137
09/06,0.177,0.208,0.167,,0.182,0.187,0.166,,0.137,,0.135,0.13,,0.13,0.14,0.14,0.136
09/07,0.188,0.222,0.174,,0.192,0.198,0.178,,0.144,,0.139,0.13,,0.12,0.19,0.19,0.146
09/08,0.203,0.24,0.184,,0.206,0.214,0.192,,0.156,,0.144,0.12,,0.07,0.27,0.27,0.161
09/09,0.191,0.225,0.169,,0.193,0.199,0.18,,0.146,,0.133,0.12,,0.14,0.15,0.15,0.144
09/10,0.186,0.218,0.162,,0.187,0.191,0.174,,0.14,,0.079,0.12,,0.0,0.13,0.13,0.126
09/11,0.188,0.22,0.161,,0.185,0.191,0.175,,0.14,,0.155,0.12,,,0.1,0.1,0.135
09/12,0.174,0.204,0.145,,0.172,0.176,0.161,,0.129,,0.143,0.11,,,0.08,0.08,0.12
09/13,0.172,0.205,0.142,,0.172,0.178,0.164,,0.128,,0.148,0.1,,,0.1,0.1,0.131
09/14,0.164,0.193,0.132,,0.158,0.166,0.155,,0.122,,0.128,0.09,,,0.09,0.09,0.131
09/15,0.171,0.202,0.135,,0.168,0.173,0.162,,0.127,,0.102,0.08,,,0.13,0.13,0.105
09/16,0.165,0.195,0.127,,0.158,0.166,0.156,,0.122,,0.128,0.07,,,0.08,0.08,0.14
09/17,0.152,0.181,0.113,,0.147,0.152,0.145,,0.113,,0.107,0.06,,,0.11,0.11,0.116
